rank,smiles,postera_code
49,O=C1c2cc(F)c(Cl)cc2N(c2ccccc2)C(=O)[NH+]1c1ccc[nH+]c1,MAK-UNK-9e4-25
50,CS(=O)(=O)NCCc1ccc(Cl)cc1NC(=O)Nc1cccnc1,WAR-XCH-6eb-4
51,CC(=O)N1CCN(Cc2cc(F)c(-c3cc(C)ncn3)c(F)c2)[C@@H](C)C1,BEN-VAN-c98-14
52,Cc1ccncc1NC(=O)CCc1nc2cc(Cl)ccc2o1,GAB-REV-70c-22
53,CC(=O)N1CCN(Cc2ccc3cc(S(N)(=O)=O)ccc3c2F)C[C@@H](c2cccnc2)C1,KEI-UNI-85a-1
54,O=C1c2cc(F)c(Cl)cc2N(c2ccccc2)C(=O)C1c1cccnc1,MAK-UNK-9e4-2
55,N#Cc1ccc(Nc2ccncc2NC(=O)Nc2ccccc2)nc1,MAK-UNK-30a-15
56,C=S(=C)(c1ccsc1)N1CCN2CC1c1ccncc1NC2=O,MAK-UNK-bdd-5
57,CCOc1cnc(-c2c(C)ccnc2F)cc1-c1cc(Cl)cc(C(=O)Nc2ccco2)c1,BEN-VAN-578-18
58,C[NH2+]Cc1cc(-c2ccccc2NS(=O)(=O)c2ccc3c(c2)N(C)CCC3)n(S(=O)(=O)c2cccnc2)c1,MAK-UNK-9a6-6
59,NS(=O)(=O)c1ccc(N2CCC(NC3(c4cccs4)CCCC3)CC2)cc1,WAR-XCH-b68-42
60,CS(=O)(=O)NCC(CC(=O)Nc1cccnc1)c1ccccc1,TAM-UNI-c14-10
61,COC(=O)c1ccc(S(=O)(=O)N[NH2+]Cc2cc(-c3ccccc3F)n(S(=O)(=O)c3cccnc3)c2)cc1,MAK-UNK-de9-1
62,CS(=O)(=O)NCc1ccc(CC2=CNC3NC=CC=C23)nc1N,MIH-UNI-339-5
63,NS(=O)(=O)c1cc(C2NC(=O)c3ccccc32)ccc1N1CCN(C(=O)CO)CC1,DR -UNK-640-5
64,NS(=O)(=O)c1ccc(N2CCC(NC3(c4ccsc4)CCCC3)CC2)cc1,WAR-XCH-b68-41
65,C#Cc1cc(F)cc(CN(C(=O)Nc2cccnc2C)c2nccc(C(C)C)n2)n1,AGN-NEW-817-5
66,CC(=O)NCCc1c[nH]c2c(Nc3ccc(NC(C)=O)cc3)cc(F)cc12,GAB-REV-4a4-14
67,CNCC1CC1(C(=O)Nc1cccnc1)c1cccc(Cl)c1,ADA-UNI-f8e-12
68,Cc1cccc(C[NH+]2CC([NH+]3CCC(O)CC3)CC2C(=O)NCCO)c1,MAK-UNK-e4a-10
69,Cc1nc(CCl)c(Cc2[nH]cnc2-c2cnccc2CO)[nH]1,MUS-SCH-c2f-7
70,COC1(C(=O)O)OC(Oc2ccc3cc[nH]c3c2)C(O)C(O)(CCNC(C)=O)C1O,JOH-MSK-a63-3
71,C[NH2+]Cc1cc(-c2ccccc2F)n(Cc2c[nH]c3c(C#N)cnn3c2=O)c1,MAK-UNK-095-27
72,C=CN(c1cnccc1C)[C@@H](O)[C@@H](C)C1CN=Cc2cc(OC)ccc21,AUS-WAB-916-1
73,O=C(Nc1ccc(N2CCN(C(=O)Cc3c[nH]c4ncccc34)CC2)cc1)Nc1cccnc1,MAK-UNK-de8-3
74,Clc1ccc(CNc2cccnc2)c(CNc2ccccn2)c1,CAS-DEP-167-1
75,CCNc1ncc(C#N)cc1C(=O)NCc1ccc2cn[nH]c2c1,GAB-REV-df6-7
76,O=C(SCF)C1CCN(C(=O)c2cccc(F)c2)CC1,GIA-UNK-995-15
77,CS(=O)(=O)NC[C@@H](C(=O)N1CCc2ccncc21)c1cccs1,DAN-RED-da4-18
78,Cc1ccncc1NC(=O)NC1(C#Cc2cn(C)cn2)CCCC1,CHR-SOS-6c4-14
79,Cc1cccc(C[NH+]2CCN(c3nc(CC(=O)NC[NH+]4CCC(O)CC4)cs3)CC2)c1,MAK-UNK-e4a-17
80,Cc1ccncc1NC(=O)c1ccccc1NC(=O)Nc1cccnc1,MAK-UNK-129-10
81,O=c1c2cc(F)c(Cl)cc2n(-c2ccccc2)c(=O)n1-c1cccnn1,MAK-UNK-9e4-13
82,C#Cc1ncccc1NC(=O)Cc1cccc(Cl)c1,AGN-NEW-c7b-5
83,N=C(N)c1cccc(N(C(=O)Nc2cccnc2)c2ccccc2)c1,EMI-TU -a58-1
84,O=C1c2cc(F)c(Cl)cc2C(c2ccccc2)C(=O)C1c1cccnc1,MAK-UNK-9e4-5
85,O=c1c(NCCN2CCNCC2)c(N(Cc2ccccn2)Cc2ccccn2)c1=O,CAT-CEN-91a-1
86,COC(=O)c1sc(NS(=O)(=O)c2ccc(CF)cc2)nc1C(C)(C)C,VIJ-CYC-1a3-13
87,OCc1ccncc1-c1cc(C2(c3ccccc3)CCCCC2)ccn1,WAR-XCH-79d-13
88,CN1CCN(C(=O)Cc2c[nH]c3nccc(NC(=O)NC4CCCCC4)c23)CC1,DAR-DIA-033-12
89,CC(C)N(C)C(=O)C1CCN(C(=O)C(Cl)[NH2+]Cc2cc(-c3ccccc3F)n(S(=O)(=O)c3cccnc3)c2)CC1,MAK-UNK-8fd-33
90,C=Cc1ncccc1NC(=O)Cc1cccc(C)c1,AGN-NEW-c7b-2
91,CCNc1ccc(C#N)c(Cc2cc(OCC(=O)Nc3cccnc3)ccc2Cl)n1,BEN-VAN-ed8-11
92,CCC/C=C/NC(=O)N(CNC(=O)C1CCCCC1)Cc1cc(C)on1,ALI-DIA-59c-8
93,C[NH2+]Cc1cc(-c2ccccc2F)n(S(=O)(=O)c2cnccc2N2CCCc3ccc(S(N)(=O)=O)cc32)c1,MAK-UNK-9a6-15
94,O=C(NC1CC1)C1CCN(c2ccccc2)C(=O)N1c1cccnc1,SIM-SYN-a98-5
95,Cc1noc(C)c1COc1ccccc1C(=O)NC(C)c1nnc2ncccn12,BAR-COM-4e0-9
96,O=C1CC(=O)N(c2ccc(-c3cc[nH]c3)[nH]2)[C@H](Oc2ccc(F)cc2)C1,DEM-REL-172-6
97,CC(=O)N1CCN(Cc2ccc3cc(S(N)(=O)=O)ccc3c2Br)C[C@@H](c2cccnc2)C1,KEI-UNI-85a-2
98,C#Cc1cccc(CN(C(=O)Nc2c(C)ccnc2C)c2nccc(C(C)C)n2)n1,AGN-NEW-817-6
99,CC(=O)N1CCN(Cc2ccc3nc(S(N)(=O)=O)ccc3c2C)C[C@@H](c2cccnc2)C1,KEI-UNI-85a-10
100,C[NH2+]Cc1cc(-c2ccccc2F)n(Cc2ccsc2)c1,MAK-UNK-095-8
101,Cc1ccncc1-n1c(=O)c2cc(F)c(Cl)cc2n(-c2ccccc2)c1=O,MAK-UNK-9e4-31
102,Cc1ccncc1NC(=O)NC1(C#Cc2cncnc2)CCCCC1,CHR-SOS-6c4-3
103,N#Cc1cccc(N(CCC2CC2)C(=O)Nc2cccnc2)c1,JOR-UNI-61e-9
104,CC(=O)NC(c1cccc(Cl)c1)N1CCOCC1,WIL-LEE-1f7-4
105,O=C(CC1(Cc2cccnc2)CCCCC1)Nc1cccnc1,CHR-SOS-597-6
106,CC(=O)Nc1cnccc1-c1ccccc1NC(=O)Nc1cccnc1,MAK-UNK-129-5
107,N#Cc1cnc(NCF)c(Cc2ccc3c(c2)C(=O)NC3)c1,MAK-UNK-516-11
108,O=C(CC1CCCCC1)Nc1cncc(S(=O)(=O)NCCc2ccccc2)c1,MAK-UNK-b2c-4
109,CC(C)(C)OC(=O)Nc1ccc(-c2cccc(CCC(=O)N[C@@H](C[C@@H]3CCNC3=O)C(=O)C(=O)N3CCN(S(=O)(=O)c4ccccc4)CC3)c2)[nH]c1=O,HUB-UNK-984-9
110,C[NH2+]Cc1cc(-c2ccccc2F)n(Cc2ccccc2)c1,MAK-UNK-095-13
111,CCC(C)NC(=O)COc1c(C)cccc1C,ALE-UNK-fca-5
112,C#Cc1ncccc1NC(=O)Cc1cccc(C)c1,AGN-NEW-c7b-6
113,C=Cc1ncc(C)c(CCNC(=O)CN2CCCCC2)c1NC(=O)N(Cc1ncnc(OC)n1)c1cc(C)ccn1,AGN-NEW-9d2-4
114,C[NH2+]CC1=CC(N2CCCc3ccc(S(N)(=O)=O)cc32)(S(=O)(=O)c2cccnc2)C(c2ccccc2F)=C1,MAK-UNK-9a6-11
115,O=C(Nc1ccc(C(=O)NCCc2c[nH]c3ccc(F)cc23)cc1)Nc1cccnc1,MAK-UNK-37f-7
116,Oc1cc(O)cc(CC2CC(CC3CCNC3)C(C(O)CF)CN2)c1,VIT-UNK-6e6-1
117,O=C(CC1(C#Cc2cccnc2)CCCCC1)Nc1cccnc1,CHR-SOS-b30-2
118,O=C(NC(=O)c1[nH]c2cc(Cl)ccc2c1-c1cncn1Cc1cncnc1)NC1CCCCC1,MAK-UNK-f24-3
119,O=C(Nc1cccnc1)N(CCC[N+](=O)[O-])c1ccccc1,EMI-TU -a58-4
120,Cc1ccncc1NC(=O)NC1(C#Cc2cn(C)cn2)CCC1,CHR-SOS-6c4-15
121,[NH3+]CC1OC(C2[NH2+]CCCC2O)Cc2c1ccc(O)c2O,MAK-UNK-198-1
122,O=c1n(-c2cccnc2)c(=S)c2cc(F)c(Cl)cc2n1-c1ccccc1,MAK-UNK-9e4-8
123,Cc1cccc(N(C)CC2CCN(c3ccc(S(N)(=O)=O)cc3)CC2)c1,WAR-XCH-b68-6
124,COc1ccc(C2CC(C)N(S(=O)(=O)c3cccnc3)C2)cc1,AUS-ARG-7cf-2
125,O=C(CC1(Oc2ccccc2)CCCCC1)Nc1cccnc1,CHR-SOS-70e-1
126,Cc1ccncc1CC(=O)N(Cc1csc(F)c1)c1ccc(NC(=O)c2ccccc2)cc1,RUT-UNI-630-11
127,O=c1cccc(-c2c(F)cccc2CCNS(=O)(=O)c2ccccc2)[nH]1,HUB-UNK-984-13
128,CCNc1ncc(C#N)cc1N(CCN1CCC(O)CC1)C(=O)Nc1cccnc1,JOR-UNI-61e-25
129,Fc1cc2c(=S)n(-c3cccnc3)c(=S)n(-c3ccccc3)c2cc1Cl,MAK-UNK-9e4-9
130,Cc1ccnc(CN2CCCC3(CCOC3)C2)c1,JAR-KUA-672-10
131,NC(N)=NCCN(C(=O)Nc1cccnc1)c1ccccc1,EMI-TU -a58-6
132,Cc1ncccc1-n1c(=O)c2cc(F)c(Cl)cc2n(-c2ccccc2)c1=O,MAK-UNK-9e4-30
133,CC1CN(Cc2ccccc2NC(=O)NCc2cnsc2)CC(C)O1,BAR-COM-4e0-4
134,O=C(NCc1cccnn1)Nc1cccc(-c2ncc3n2CCCC3)c1,BAR-COM-4e0-23
135,CCNc1cc([NH2+]Cc2cc(-c3ccccc3F)n(S(=O)(=O)c3cccnc3)c2)c(C#N)cn1,MAK-UNK-148-2
136,O=c1cc(NC2CCCCC2)n(C2OCC(O)C2Nc2cncnc2)c(=O)[nH]1,MAK-UNK-f24-9
137,Cc1nnc(C(C(=O)Nc2cnccc2C)N2CCCC(F)C2)s1,PET-SGC-01d-1
138,Cc1ccc(Oc2nc(-c3cccnc3)nc3ccccc23)cc1C,AUS-ARG-7cf-7
139,Cc1ccc2c(-c3cccc4[nH]ncc34)c(-c3ccc(F)cc3)nn2n1,ÁLV-UNI-7ff-29
140,CCNc1ncc(C#N)cc1Cc1cc2c(cn1)CNC2=O,MAK-UNK-516-20
141,CCc1c(F)[nH]c2c(Oc3cc(C)c(Cl)cn3)cc(OC)c(Cl)c12,BEN-VAN-d8f-1
142,Cc1ccccc1C1(NC2CCN(c3ccc(S(N)(=O)=O)cc3)CC2)CCCC1,WAR-XCH-b68-40
143,CC(=O)N1CCN(Cc2cccs2)C(C2C(O)CCCN2Cc2ccccc2)C1,MAK-UNK-b1d-9
144,O=C(CC1CCCCC1)Nc1cnccc1S(=O)(=O)NCCc1ccccc1,MAK-UNK-b2c-2
145,CCc1c[nH]c2c(Oc3cc(-c4cnc[nH]4)ccn3)cc(F)cc12,BEN-VAN-d8f-11
146,O=C(Nc1cccnc1)NC1CCCCC1,ALE-HEI-f28-8
147,Cc1c(Cl)c(F)cc2c(=O)n(-c3cccnc3)c(=O)n(-c3ccccc3)c12,MAK-UNK-9e4-36
148,CCNc1ncc(C#N)cc1OCc1ccc2[nH]ncc2c1,GAB-REV-df6-3
149,O=C(Nc1ccccc1)N(c1cccnc1)c1ccccn1,DAR-DIA-fc9-14
150,CC(=O)NCCc1c[nH]c2c(-c3ncoc3C)cc(C#N)c(Cl)c12,MAT-GIT-dea-3
151,N=C(N)CCN(C(=O)Nc1cccnc1)c1cccc(Cl)c1,JOR-UNI-2fc-2
152,CC[NH+]1CC[NH+](Cc2ccccc2CNC2=[NH+]C[C@@H](C3CCCC3)N2)CC1,FRA-BIO-8bf-2
153,O=C(NCc1cnn2ccccc12)c1cccnc1OCCO,BAR-COM-4e0-40
